protocol,topic_id,factual_accuracy,position_shift,agreement
A,1,0.5,0.0,0.9000379
A,2,1.0,0.0,0.87029916
A,3,1.0,0.0,0.9532566
A,4,0.5,0.0,0.91319656
A,5,1.0,0.0,0.9505086
A,6,0.5,0.0,0.8976367
A,7,1.0,0.0,0.8974514
A,8,0.5,0.0,0.8994636
A,9,0.5,0.0,0.9554813
A,10,1.0,0.0,0.88493645
B,1,0.5,0.22561833262443542,0.9026293
B,2,0.5,0.2559277415275574,0.89416194
B,3,0.5,0.15264356136322021,0.9345167
B,4,0.5,0.18593916296958923,0.9548419
B,5,0.5,0.16259253025054932,0.93344796
B,6,0.5,0.1564769744873047,0.95004827
B,7,0.5,0.20495226979255676,0.87044424
B,8,0.5,0.2791013717651367,0.9141146
B,9,0.5,0.15827739238739014,0.9447822
B,10,0.5,0.1935645341873169,0.9447284
C,1,1.0,0.16868317127227783,0.9265125
C,2,1.0,0.2735597789287567,0.88242406
C,3,0.5,0.17720158398151398,0.91808623
C,4,1.0,0.15605822205543518,0.8129536
C,5,0.5,0.13872189819812775,0.8836943
C,6,0.5,0.22369539737701416,0.87480336
C,7,0.5,0.1685551404953003,0.76519954
C,8,1.0,0.21154452860355377,0.9133712
C,9,0.0,0.2152574062347412,0.89884025
C,10,0.5,0.24000708758831024,0.88953245
