topic_id,agent,round,utility,cumulative_utility,cumulative_regret,ground_truth
1,agent1,1,0.0,0.0,1.0,False
1,agent1,2,0.0,0.0,2.0,False
1,agent2,1,1.0,1.0,0.0,False
1,agent2,2,1.0,2.0,0.0,False
2,agent1,1,0.0,0.0,1.0,False
2,agent1,2,0.0,0.0,2.0,False
2,agent2,1,1.0,1.0,0.0,False
2,agent2,2,1.0,2.0,0.0,False
3,agent1,1,0.0,0.0,1.0,False
3,agent1,2,0.0,0.0,2.0,False
3,agent2,1,1.0,1.0,0.0,False
3,agent2,2,1.0,2.0,0.0,False
4,agent1,1,1.0,1.0,0.0,True
4,agent1,2,1.0,2.0,0.0,True
4,agent2,1,1.0,1.0,0.0,True
4,agent2,2,0.0,1.0,1.0,True
5,agent1,1,0.0,0.0,1.0,False
5,agent1,2,0.0,0.0,2.0,False
5,agent2,1,1.0,1.0,0.0,False
5,agent2,2,1.0,2.0,0.0,False
6,agent1,1,1.0,1.0,0.0,True
6,agent1,2,1.0,2.0,0.0,True
6,agent2,1,0.0,0.0,1.0,True
6,agent2,2,0.0,0.0,2.0,True
7,agent1,1,0.0,0.0,1.0,False
7,agent1,2,0.0,0.0,2.0,False
7,agent2,1,1.0,1.0,0.0,False
7,agent2,2,1.0,2.0,0.0,False
8,agent1,1,1.0,1.0,0.0,True
8,agent1,2,1.0,2.0,0.0,True
8,agent2,1,0.0,0.0,1.0,True
8,agent2,2,0.0,0.0,2.0,True
9,agent1,1,1.0,1.0,0.0,True
9,agent1,2,1.0,2.0,0.0,True
9,agent2,1,0.0,0.0,1.0,True
9,agent2,2,0.0,0.0,2.0,True
10,agent1,1,1.0,1.0,0.0,True
10,agent1,2,1.0,2.0,0.0,True
10,agent2,1,0.0,0.0,1.0,True
10,agent2,2,0.0,0.0,2.0,True
